[00:00:00] , "Team 1" , "0" , "NELS" , "EV_PlayerJoinedMatch" , "NELS" , "0"
[00:00:00] , "Team 1" , "0" , "NELS" , "EV_PlayerLeftMatch" , "NELS" , ""
[00:00:00] , "Team 1" , "0" , "NELS" , "INC_Charge_Ultimate" , "0" , ""
[00:00:07] , "Team 1" , "0" , "NELS" , "EV_SwitchedHero" , "Tracer" , ""
[00:00:10] , "Team 1" , "0" , "NELS" , "EV_SwitchedHero" , "Echo" , ""
[00:00:14] , "Team 1" , "0" , "NELS" , "EV_UsedAbility_1" , "" , ""
[00:00:22] , "Team 2" , "5" , "Reaper" , "EV_PlayerJoinedMatch" , "Reaper" , ""
[00:00:22] , "Team 2" , "5" , "Reaper" , "EV_PlayerLeftMatch" , "Reaper" , ""
[00:00:22] , "Team 2" , "5" , "Reaper" , "INC_Charge_Ultimate" , "0" , ""
[00:00:22] , "Team 2" , "4" , "Torbjörn" , "EV_PlayerJoinedMatch" , "Torbjörn" , ""
[00:00:22] , "Team 2" , "4" , "Torbjörn" , "EV_PlayerLeftMatch" , "Torbjörn" , ""
[00:00:22] , "Team 2" , "4" , "Torbjörn" , "INC_Charge_Ultimate" , "0" , ""
[00:00:22] , "Team 2" , "3" , "Roadhog" , "EV_PlayerJoinedMatch" , "Roadhog" , ""
[00:00:22] , "Team 2" , "3" , "Roadhog" , "EV_PlayerLeftMatch" , "Roadhog" , ""
[00:00:22] , "Team 2" , "3" , "Roadhog" , "INC_Charge_Ultimate" , "0" , ""
[00:00:22] , "Team 2" , "2" , "Zarya" , "EV_PlayerJoinedMatch" , "Zarya" , ""
[00:00:22] , "Team 2" , "2" , "Zarya" , "EV_PlayerLeftMatch" , "Zarya" , ""
[00:00:22] , "Team 2" , "2" , "Zarya" , "INC_Charge_Ultimate" , "0" , ""
[00:00:22] , "Team 2" , "1" , "Lúcio" , "EV_PlayerJoinedMatch" , "Lúcio" , ""
[00:00:22] , "Team 2" , "1" , "Lúcio" , "EV_PlayerLeftMatch" , "Lúcio" , ""
[00:00:22] , "Team 2" , "1" , "Lúcio" , "INC_Charge_Ultimate" , "0" , ""
[00:00:22] , "Team 2" , "0" , "Zenyatta" , "EV_PlayerJoinedMatch" , "Zenyatta" , ""
[00:00:22] , "Team 2" , "0" , "Zenyatta" , "EV_PlayerLeftMatch" , "Zenyatta" , ""
[00:00:22] , "Team 2" , "0" , "Zenyatta" , "INC_Charge_Ultimate" , "0" , ""
[00:00:22] , "Team 1" , "5" , "Torbjörn" , "EV_PlayerJoinedMatch" , "Torbjörn" , ""
[00:00:22] , "Team 1" , "5" , "Torbjörn" , "EV_PlayerLeftMatch" , "Torbjörn" , ""
[00:00:22] , "Team 1" , "5" , "Torbjörn" , "INC_Charge_Ultimate" , "0" , ""
[00:00:22] , "Team 1" , "4" , "Zarya" , "EV_PlayerJoinedMatch" , "Zarya" , ""
[00:00:22] , "Team 1" , "4" , "Zarya" , "EV_PlayerLeftMatch" , "Zarya" , ""
[00:00:22] , "Team 1" , "4" , "Zarya" , "INC_Charge_Ultimate" , "0" , ""
[00:00:22] , "Team 1" , "3" , "Roadhog" , "EV_PlayerJoinedMatch" , "Roadhog" , ""
[00:00:22] , "Team 1" , "3" , "Roadhog" , "EV_PlayerLeftMatch" , "Roadhog" , ""
[00:00:22] , "Team 1" , "3" , "Roadhog" , "INC_Charge_Ultimate" , "0" , ""
[00:00:22] , "Team 1" , "2" , "Zenyatta" , "EV_PlayerJoinedMatch" , "Zenyatta" , ""
[00:00:22] , "Team 1" , "2" , "Zenyatta" , "EV_PlayerLeftMatch" , "Zenyatta" , ""
[00:00:22] , "Team 1" , "2" , "Zenyatta" , "INC_Charge_Ultimate" , "0" , ""
[00:00:22] , "Team 1" , "1" , "Lúcio" , "EV_PlayerJoinedMatch" , "Lúcio" , ""
[00:00:22] , "Team 1" , "1" , "Lúcio" , "EV_PlayerLeftMatch" , "Lúcio" , ""
[00:00:22] , "Team 1" , "1" , "Lúcio" , "INC_Charge_Ultimate" , "0" , ""
[00:00:22] , "Team 2" , "5" , "Reaper" , "EV_SwitchedHero" , "Reaper" , ""
[00:00:22] , "Team 2" , "4" , "Torbjörn" , "EV_SwitchedHero" , "Torbjörn" , ""
[00:00:22] , "Team 2" , "3" , "Roadhog" , "EV_SwitchedHero" , "Roadhog" , ""
[00:00:22] , "Team 2" , "2" , "Zarya" , "EV_SwitchedHero" , "Zarya" , ""
[00:00:22] , "Team 2" , "1" , "Lúcio" , "EV_SwitchedHero" , "Lúcio" , ""
[00:00:22] , "Team 2" , "1" , "Lúcio" , "EV_UsedAbility_1" , "" , ""
[00:00:22] , "Team 2" , "0" , "Zenyatta" , "EV_SwitchedHero" , "Zenyatta" , ""
[00:00:22] , "Team 1" , "5" , "Torbjörn" , "EV_SwitchedHero" , "Torbjörn" , ""
[00:00:22] , "Team 1" , "4" , "Zarya" , "EV_SwitchedHero" , "Zarya" , ""
[00:00:22] , "Team 1" , "3" , "Roadhog" , "EV_SwitchedHero" , "Roadhog" , ""
[00:00:22] , "Team 1" , "2" , "Zenyatta" , "EV_SwitchedHero" , "Zenyatta" , ""
[00:00:22] , "Team 1" , "1" , "Lúcio" , "EV_SwitchedHero" , "Lúcio" , ""
[00:00:22] , "Team 1" , "1" , "Lúcio" , "EV_UsedAbility_1" , "" , ""
[00:00:22] , "Team 2" , "0" , "Zenyatta" , "EV_UsedAbility_1" , "" , ""
[00:00:22] , "Team 2" , "2" , "Zarya" , "TV_ReceivedHealing" , "0" , "Zenyatta"
[00:00:22] , "Team 2" , "0" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:22] , "Team 2" , "2" , "Zarya" , "TV_ReceivedHealing" , "0" , "Zenyatta"
[00:00:22] , "Team 2" , "0" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:22] , "Team 1" , "2" , "Zenyatta" , "EV_UsedAbility_1" , "" , ""
[00:00:23] , "Team 2" , "2" , "Zarya" , "TV_ReceivedHealing" , "0" , "Zenyatta"
[00:00:23] , "Team 2" , "0" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:23] , "Team 1" , "4" , "Zarya" , "TV_ReceivedHealing" , "0" , "Zenyatta"
[00:00:23] , "Team 1" , "2" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:23] , "Team 2" , "2" , "Zarya" , "TV_ReceivedHealing" , "0" , "Zenyatta"
[00:00:23] , "Team 2" , "0" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:23] , "Team 1" , "4" , "Zarya" , "TV_ReceivedHealing" , "0" , "Zenyatta"
[00:00:23] , "Team 1" , "2" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:23] , "Team 2" , "2" , "Zarya" , "TV_ReceivedHealing" , "0" , "Zenyatta"
[00:00:23] , "Team 2" , "0" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:23] , "Team 1" , "4" , "Zarya" , "TV_ReceivedHealing" , "0" , "Zenyatta"
[00:00:23] , "Team 1" , "2" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:23] , "Team 2" , "2" , "Zarya" , "TV_ReceivedHealing" , "0" , "Zenyatta"
[00:00:23] , "Team 2" , "0" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:23] , "Team 1" , "4" , "Zarya" , "TV_ReceivedHealing" , "0" , "Zenyatta"
[00:00:23] , "Team 1" , "2" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:23] , "Team 2" , "2" , "Zarya" , "TV_ReceivedHealing" , "0" , "Zenyatta"
[00:00:23] , "Team 2" , "0" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:23] , "Team 1" , "4" , "Zarya" , "TV_ReceivedHealing" , "0" , "Zenyatta"
[00:00:23] , "Team 1" , "2" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:23] , "Team 1" , "0" , "NELS" , "EV_UsedAbility_1" , "" , ""
[00:00:24] , "Team 2" , "2" , "Zarya" , "TV_ReceivedHealing" , "0" , "Zenyatta"
[00:00:24] , "Team 2" , "0" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:24] , "Team 1" , "4" , "Zarya" , "TV_ReceivedHealing" , "0" , "Zenyatta"
[00:00:24] , "Team 1" , "2" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:24] , "Team 2" , "2" , "Zarya" , "TV_ReceivedHealing" , "0" , "Zenyatta"
[00:00:24] , "Team 2" , "0" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:24] , "Team 1" , "4" , "Zarya" , "TV_ReceivedHealing" , "0" , "Zenyatta"
[00:00:24] , "Team 1" , "2" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:24] , "Team 2" , "2" , "Zarya" , "TV_ReceivedHealing" , "0" , "Zenyatta"
[00:00:24] , "Team 2" , "0" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:24] , "Team 1" , "4" , "Zarya" , "TV_ReceivedHealing" , "0" , "Zenyatta"
[00:00:24] , "Team 1" , "2" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:24] , "Team 2" , "2" , "Zarya" , "TV_ReceivedHealing" , "0" , "Zenyatta"
[00:00:24] , "Team 2" , "0" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:24] , "Team 1" , "4" , "Zarya" , "TV_ReceivedHealing" , "0" , "Zenyatta"
[00:00:24] , "Team 1" , "2" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:24] , "Team 2" , "2" , "Zarya" , "TV_ReceivedHealing" , "0" , "Zenyatta"
[00:00:24] , "Team 2" , "0" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:24] , "Team 1" , "4" , "Zarya" , "TV_ReceivedHealing" , "0" , "Zenyatta"
[00:00:24] , "Team 1" , "2" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:24] , "Team 2" , "2" , "Zarya" , "TV_ReceivedHealing" , "0" , "Zenyatta"
[00:00:24] , "Team 2" , "0" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:24] , "Team 1" , "4" , "Zarya" , "TV_ReceivedHealing" , "0" , "Zenyatta"
[00:00:24] , "Team 1" , "2" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:25] , "Team 2" , "2" , "Zarya" , "TV_ReceivedHealing" , "0" , "Zenyatta"
[00:00:25] , "Team 2" , "0" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:25] , "Team 1" , "4" , "Zarya" , "TV_ReceivedHealing" , "0" , "Zenyatta"
[00:00:25] , "Team 1" , "2" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:25] , "Team 2" , "2" , "Zarya" , "TV_ReceivedHealing" , "0" , "Zenyatta"
[00:00:25] , "Team 2" , "0" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:25] , "Team 1" , "4" , "Zarya" , "TV_ReceivedHealing" , "0" , "Zenyatta"
[00:00:25] , "Team 1" , "2" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:25] , "Team 2" , "2" , "Zarya" , "TV_ReceivedHealing" , "0" , "Zenyatta"
[00:00:25] , "Team 2" , "0" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:25] , "Team 1" , "4" , "Zarya" , "TV_ReceivedHealing" , "0" , "Zenyatta"
[00:00:25] , "Team 1" , "2" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:25] , "Team 2" , "2" , "Zarya" , "TV_ReceivedHealing" , "0" , "Zenyatta"
[00:00:25] , "Team 2" , "0" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:25] , "Team 1" , "4" , "Zarya" , "TV_ReceivedHealing" , "0" , "Zenyatta"
[00:00:25] , "Team 1" , "2" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:25] , "Team 2" , "2" , "Zarya" , "TV_ReceivedHealing" , "0" , "Zenyatta"
[00:00:25] , "Team 2" , "0" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:25] , "Team 1" , "4" , "Zarya" , "TV_ReceivedHealing" , "0" , "Zenyatta"
[00:00:25] , "Team 1" , "2" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:26] , "Team 2" , "2" , "Zarya" , "TV_ReceivedHealing" , "0" , "Zenyatta"
[00:00:26] , "Team 2" , "0" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:26] , "Team 1" , "4" , "Zarya" , "TV_ReceivedHealing" , "0" , "Zenyatta"
[00:00:26] , "Team 1" , "2" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:26] , "Team 2" , "2" , "Zarya" , "TV_ReceivedHealing" , "0" , "Zenyatta"
[00:00:26] , "Team 2" , "0" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:26] , "Team 1" , "4" , "Zarya" , "TV_ReceivedHealing" , "0" , "Zenyatta"
[00:00:26] , "Team 1" , "2" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:26] , "Team 2" , "2" , "Zarya" , "TV_ReceivedHealing" , "0" , "Zenyatta"
[00:00:26] , "Team 2" , "0" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:26] , "Team 1" , "4" , "Zarya" , "TV_ReceivedHealing" , "0" , "Zenyatta"
[00:00:26] , "Team 1" , "2" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:26] , "Team 2" , "2" , "Zarya" , "TV_ReceivedHealing" , "0" , "Zenyatta"
[00:00:26] , "Team 2" , "0" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:26] , "Team 1" , "4" , "Zarya" , "TV_ReceivedHealing" , "0" , "Zenyatta"
[00:00:26] , "Team 1" , "2" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:26] , "Team 2" , "2" , "Zarya" , "TV_ReceivedHealing" , "0" , "Zenyatta"
[00:00:26] , "Team 2" , "0" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:26] , "Team 1" , "4" , "Zarya" , "TV_ReceivedHealing" , "0" , "Zenyatta"
[00:00:26] , "Team 1" , "2" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:27] , "Team 2" , "2" , "Zarya" , "TV_ReceivedHealing" , "0" , "Zenyatta"
[00:00:27] , "Team 2" , "0" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:27] , "Team 1" , "4" , "Zarya" , "TV_ReceivedHealing" , "0" , "Zenyatta"
[00:00:27] , "Team 1" , "2" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:27] , "Team 2" , "2" , "Zarya" , "TV_ReceivedHealing" , "0" , "Zenyatta"
[00:00:27] , "Team 2" , "0" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:27] , "Team 1" , "4" , "Zarya" , "TV_ReceivedHealing" , "0" , "Zenyatta"
[00:00:27] , "Team 1" , "2" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:27] , "Team 2" , "2" , "Zarya" , "TV_ReceivedHealing" , "0" , "Zenyatta"
[00:00:27] , "Team 2" , "0" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:27] , "Team 1" , "4" , "Zarya" , "TV_ReceivedHealing" , "0" , "Zenyatta"
[00:00:27] , "Team 1" , "2" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:27] , "Team 2" , "2" , "Zarya" , "TV_ReceivedHealing" , "0" , "Zenyatta"
[00:00:27] , "Team 2" , "0" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:27] , "Team 1" , "4" , "Zarya" , "TV_ReceivedHealing" , "0" , "Zenyatta"
[00:00:27] , "Team 1" , "2" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:27] , "Team 2" , "2" , "Zarya" , "TV_ReceivedHealing" , "0" , "Zenyatta"
[00:00:27] , "Team 2" , "0" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:27] , "Team 1" , "4" , "Zarya" , "TV_ReceivedHealing" , "0" , "Zenyatta"
[00:00:27] , "Team 1" , "2" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:28] , "Team 2" , "2" , "Zarya" , "TV_ReceivedHealing" , "0" , "Zenyatta"
