[00:00:00] , "Team 1" , "0" , "NELS" , "EV_LoadMap" , "Lijiang Tower" , ""
[00:00:00] , "Team 2" , "5" , "Torbjörn" , "EV_PlayerJoinedMatch" , "Torbjörn" , ""
[00:00:00] , "Team 2" , "5" , "Torbjörn" , "INC_Charge_Ultimate" , "0" , ""
[00:00:00] , "Team 2" , "4" , "Sombra" , "EV_PlayerJoinedMatch" , "Sombra" , ""
[00:00:00] , "Team 2" , "4" , "Sombra" , "INC_Charge_Ultimate" , "0" , ""
[00:00:00] , "Team 2" , "3" , "Zarya" , "EV_PlayerJoinedMatch" , "Zarya" , ""
[00:00:00] , "Team 2" , "3" , "Zarya" , "INC_Charge_Ultimate" , "0" , ""
[00:00:00] , "Team 2" , "2" , "Roadhog" , "EV_PlayerJoinedMatch" , "Roadhog" , ""
[00:00:00] , "Team 2" , "2" , "Roadhog" , "INC_Charge_Ultimate" , "0" , ""
[00:00:00] , "Team 2" , "1" , "Ana" , "EV_PlayerJoinedMatch" , "Ana" , ""
[00:00:00] , "Team 2" , "1" , "Ana" , "INC_Charge_Ultimate" , "0" , ""
[00:00:00] , "Team 2" , "0" , "Zenyatta" , "EV_PlayerJoinedMatch" , "Zenyatta" , ""
[00:00:00] , "Team 2" , "0" , "Zenyatta" , "INC_Charge_Ultimate" , "0" , ""
[00:00:00] , "Team 1" , "5" , "Torbjörn" , "EV_PlayerJoinedMatch" , "Torbjörn" , ""
[00:00:00] , "Team 1" , "5" , "Torbjörn" , "INC_Charge_Ultimate" , "0" , ""
[00:00:00] , "Team 1" , "4" , "Roadhog" , "EV_PlayerJoinedMatch" , "Roadhog" , ""
[00:00:00] , "Team 1" , "4" , "Roadhog" , "INC_Charge_Ultimate" , "0" , ""
[00:00:00] , "Team 1" , "3" , "Zarya" , "EV_PlayerJoinedMatch" , "Zarya" , ""
[00:00:00] , "Team 1" , "3" , "Zarya" , "INC_Charge_Ultimate" , "0" , ""
[00:00:00] , "Team 1" , "2" , "Ana" , "EV_PlayerJoinedMatch" , "Ana" , ""
[00:00:00] , "Team 1" , "2" , "Ana" , "INC_Charge_Ultimate" , "0" , ""
[00:00:00] , "Team 1" , "1" , "Lúcio" , "EV_PlayerJoinedMatch" , "Lúcio" , ""
[00:00:00] , "Team 1" , "1" , "Lúcio" , "INC_Charge_Ultimate" , "0" , ""
[00:00:00] , "Team 2" , "5" , "Torbjörn" , "EV_SwitchedHero" , "Torbjörn" , ""
[00:00:00] , "Team 2" , "4" , "Sombra" , "EV_SwitchedHero" , "Sombra" , ""
[00:00:00] , "Team 2" , "3" , "Zarya" , "EV_SwitchedHero" , "Zarya" , ""
[00:00:00] , "Team 2" , "2" , "Roadhog" , "EV_SwitchedHero" , "Roadhog" , ""
[00:00:00] , "Team 2" , "1" , "Ana" , "EV_SwitchedHero" , "Ana" , ""
[00:00:00] , "Team 2" , "0" , "Zenyatta" , "EV_SwitchedHero" , "Zenyatta" , ""
[00:00:00] , "Team 1" , "5" , "Torbjörn" , "EV_SwitchedHero" , "Torbjörn" , ""
[00:00:00] , "Team 1" , "4" , "Roadhog" , "EV_SwitchedHero" , "Roadhog" , ""
[00:00:00] , "Team 1" , "3" , "Zarya" , "EV_SwitchedHero" , "Zarya" , ""
[00:00:00] , "Team 1" , "2" , "Ana" , "EV_SwitchedHero" , "Ana" , ""
[00:00:00] , "Team 1" , "1" , "Lúcio" , "EV_SwitchedHero" , "Lúcio" , ""
[00:00:00] , "Team 1" , "1" , "Lúcio" , "EV_UsedAbility_1" , "" , ""
[00:00:00] , "Team 2" , "4" , "Sombra" , "EV_UsedAbility_1" , "" , ""
[00:00:00] , "Team 1" , "0" , "NELS" , "EV_PlayerJoinedMatch" , "NELS" , ""
[00:00:00] , "Team 1" , "0" , "NELS" , "INC_Charge_Ultimate" , "0" , ""
[00:00:01] , "Team 2" , "0" , "Zenyatta" , "EV_UsedAbility_1" , "" , ""
[00:00:01] , "Team 2" , "0" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:01] , "Team 2" , "0" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:02] , "Team 2" , "0" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:02] , "Team 2" , "0" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:02] , "Team 2" , "0" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:02] , "Team 2" , "0" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:02] , "Team 2" , "0" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:02] , "Team 2" , "0" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:03] , "Team 2" , "0" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:03] , "Team 2" , "0" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:03] , "Team 2" , "0" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:03] , "Team 2" , "0" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:03] , "Team 2" , "0" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:04] , "Team 2" , "0" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:04] , "Team 2" , "0" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:04] , "Team 2" , "0" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:04] , "Team 2" , "0" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:04] , "Team 2" , "0" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:05] , "Team 2" , "0" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:05] , "Team 2" , "0" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:05] , "Team 2" , "0" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:05] , "Team 2" , "0" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:05] , "Team 2" , "0" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:06] , "Team 2" , "0" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:06] , "Team 2" , "0" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:06] , "Team 2" , "0" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:06] , "Team 2" , "0" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:06] , "Team 2" , "0" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:07] , "Team 2" , "0" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:07] , "Team 2" , "0" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:07] , "Team 2" , "0" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:07] , "Team 2" , "0" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:07] , "Team 2" , "0" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:07] , "Team 2" , "0" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:08] , "Team 2" , "0" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:08] , "Team 2" , "0" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:08] , "Team 2" , "0" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:08] , "Team 2" , "0" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:08] , "Team 2" , "0" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:09] , "Team 2" , "0" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:09] , "Team 2" , "0" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:09] , "Team 2" , "0" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:09] , "Team 2" , "0" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:09] , "Team 2" , "0" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:10] , "Team 2" , "0" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:10] , "Team 2" , "0" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:10] , "Team 2" , "0" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:10] , "Team 2" , "0" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:10] , "Team 2" , "0" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
[00:00:11] , "Team 2" , "0" , "Zenyatta" , "TV_DealtHealing" , "0" , "Zarya"
