[00:00:00] , "Team 1" , "0" , "NELS" , "EV_PlayerJoinedMatch" , "NELS" , ""
[00:00:00] , "Team 1" , "0" , "NELS" , "EV_LoadMap" , "Watchpoint: Gibraltar" , ""
[00:00:00] , "Team 1" , "0" , "NELS" , "EV_RoundEnded" , "1" , ""
[00:00:08] , "Team 1" , "0" , "NELS" , "EV_SwitchedHero" , "Junkrat" , ""
[00:00:09] , "Team 1" , "0" , "NELS" , "COM_Hello" , "" , ""
[00:00:10] , "Team 1" , "0" , "NELS" , "EV_PlayerPosition" , "(69.13, -9.25, -36.66)" , ""
[00:00:12] , "Team 1" , "0" , "NELS" , "EV_PlayerPosition" , "(67.74, -9.73, -45.34)" , ""
[00:00:13] , "Team 1" , "0" , "NELS" , "EV_Charge_Ultimate" , "0" , ""
[00:00:14] , "Team 1" , "0" , "NELS" , "EV_PlayerPosition" , "(67.74, -9.73, -45.34)" , ""
[00:00:16] , "Team 1" , "0" , "NELS" , "EV_PlayerPosition" , "(67.74, -9.73, -45.34)" , ""
[00:00:17] , "Team 2" , "5" , "McCree" , "EV_PlayerJoinedMatch" , "McCree" , ""
[00:00:17] , "Team 2" , "4" , "Soldier: 76" , "EV_PlayerJoinedMatch" , "Soldier: 76" , ""
[00:00:17] , "Team 2" , "3" , "Roadhog" , "EV_PlayerJoinedMatch" , "Roadhog" , ""
[00:00:17] , "Team 2" , "2" , "Zarya" , "EV_PlayerJoinedMatch" , "Zarya" , ""
[00:00:17] , "Team 2" , "1" , "Ana" , "EV_PlayerJoinedMatch" , "Ana" , ""
[00:00:17] , "Team 2" , "0" , "Zenyatta" , "EV_PlayerJoinedMatch" , "Zenyatta" , ""
[00:00:17] , "Team 1" , "5" , "Bastion" , "EV_PlayerJoinedMatch" , "Bastion" , ""
[00:00:17] , "Team 1" , "4" , "Roadhog" , "EV_PlayerJoinedMatch" , "Roadhog" , ""
[00:00:17] , "Team 1" , "3" , "Zarya" , "EV_PlayerJoinedMatch" , "Zarya" , ""
[00:00:17] , "Team 1" , "2" , "Ana" , "EV_PlayerJoinedMatch" , "Ana" , ""
[00:00:17] , "Team 1" , "1" , "Lúcio" , "EV_PlayerJoinedMatch" , "Lúcio" , ""
[00:00:17] , "Team 2" , "5" , "McCree" , "EV_SwitchedHero" , "McCree" , ""
[00:00:17] , "Team 2" , "4" , "Soldier: 76" , "EV_SwitchedHero" , "Soldier: 76" , ""
[00:00:17] , "Team 2" , "3" , "Roadhog" , "EV_SwitchedHero" , "Roadhog" , ""
[00:00:17] , "Team 2" , "2" , "Zarya" , "EV_SwitchedHero" , "Zarya" , ""
[00:00:17] , "Team 2" , "1" , "Ana" , "EV_SwitchedHero" , "Ana" , ""
[00:00:17] , "Team 2" , "0" , "Zenyatta" , "EV_SwitchedHero" , "Zenyatta" , ""
[00:00:17] , "Team 1" , "5" , "Bastion" , "EV_SwitchedHero" , "Bastion" , ""
[00:00:17] , "Team 1" , "4" , "Roadhog" , "EV_SwitchedHero" , "Roadhog" , ""
[00:00:17] , "Team 1" , "3" , "Zarya" , "EV_SwitchedHero" , "Zarya" , ""
[00:00:17] , "Team 1" , "2" , "Ana" , "EV_SwitchedHero" , "Ana" , ""
[00:00:17] , "Team 1" , "1" , "Lúcio" , "EV_SwitchedHero" , "Lúcio" , ""
[00:00:17] , "Team 1" , "1" , "Lúcio" , "EV_UsedAbility_1" , "" , ""
[00:00:18] , "Team 1" , "1" , "Lúcio" , "EV_UsedAbility_2" , "" , ""
[00:00:18] , "Team 1" , "0" , "NELS" , "EV_PlayerPosition" , "(67.74, -9.73, -45.34)" , ""
