[00:00:00] , "Team 2" , "5" , "Mei" , "EV_PlayerJoinedMatch" , "Mei" , ""
[00:00:00] , "Team 2" , "4" , "Soldier: 76" , "EV_PlayerJoinedMatch" , "Soldier: 76" , ""
[00:00:00] , "Team 2" , "3" , "Zarya" , "EV_PlayerJoinedMatch" , "Zarya" , ""
[00:00:00] , "Team 2" , "2" , "Roadhog" , "EV_PlayerJoinedMatch" , "Roadhog" , ""
[00:00:00] , "Team 2" , "1" , "Ana" , "EV_PlayerJoinedMatch" , "Ana" , ""
[00:00:00] , "Team 2" , "0" , "Zenyatta" , "EV_PlayerJoinedMatch" , "Zenyatta" , ""
[00:00:00] , "Team 1" , "5" , "Bastion" , "EV_PlayerJoinedMatch" , "Bastion" , ""
[00:00:00] , "Team 1" , "4" , "Roadhog" , "EV_PlayerJoinedMatch" , "Roadhog" , ""
[00:00:00] , "Team 1" , "3" , "Zarya" , "EV_PlayerJoinedMatch" , "Zarya" , ""
[00:00:00] , "Team 1" , "2" , "Zenyatta" , "EV_PlayerJoinedMatch" , "Zenyatta" , ""
[00:00:00] , "Team 1" , "1" , "Lúcio" , "EV_PlayerJoinedMatch" , "Lúcio" , ""
[00:00:00] , "Team 2" , "5" , "Mei" , "EV_SwitchedHero" , "Mei" , ""
[00:00:00] , "Team 2" , "4" , "Soldier: 76" , "EV_SwitchedHero" , "Soldier: 76" , ""
[00:00:00] , "Team 2" , "3" , "Zarya" , "EV_SwitchedHero" , "Zarya" , ""
[00:00:00] , "Team 2" , "2" , "Roadhog" , "EV_SwitchedHero" , "Roadhog" , ""
[00:00:00] , "Team 2" , "1" , "Ana" , "EV_SwitchedHero" , "Ana" , ""
[00:00:00] , "Team 2" , "0" , "Zenyatta" , "EV_SwitchedHero" , "Zenyatta" , ""
[00:00:00] , "Team 1" , "5" , "Bastion" , "EV_SwitchedHero" , "Bastion" , ""
[00:00:00] , "Team 1" , "4" , "Roadhog" , "EV_SwitchedHero" , "Roadhog" , ""
[00:00:00] , "Team 1" , "3" , "Zarya" , "EV_SwitchedHero" , "Zarya" , ""
[00:00:00] , "Team 1" , "2" , "Zenyatta" , "EV_SwitchedHero" , "Zenyatta" , ""
[00:00:00] , "Team 1" , "1" , "Lúcio" , "EV_SwitchedHero" , "Lúcio" , ""
[00:00:00] , "Team 1" , "1" , "Lúcio" , "EV_UsedAbility_1" , "Lúcio" , ""
[00:00:00] , "Team 1" , "0" , "NELS" , "EV_PlayerJoinedMatch" , "NELS" , ""
[00:00:00] , "Team 1" , "0" , "NELS" , "EV_LoadMap" , "Havana" , ""
[00:00:00] , "Team 1" , "0" , "NELS" , "EV_RoundEnded" , "1" , ""
[00:00:00] , "Team 1" , "1" , "Lúcio" , "EV_UsedAbility_2" , "Lúcio" , ""
[00:00:01] , "Team 1" , "2" , "Zenyatta" , "EV_UsedAbility_1" , "Zenyatta" , ""
[00:00:01] , "Team 2" , "0" , "Zenyatta" , "EV_UsedAbility_1" , "Zenyatta" , ""
[00:00:02] , "Team 2" , "5" , "Mei" , "EV_PlayerPosition" , "(-108.74, 4.00, -79.66)" , ""
[00:00:02] , "Team 2" , "4" , "Soldier: 76" , "EV_PlayerPosition" , "(-108.21, 4.00, -78.07)" , ""
[00:00:02] , "Team 2" , "3" , "Zarya" , "EV_PlayerPosition" , "(-106.61, 4.00, -81.79)" , ""
[00:00:02] , "Team 2" , "2" , "Roadhog" , "EV_PlayerPosition" , "(-107.67, 4.00, -80.72)" , ""
[00:00:02] , "Team 2" , "1" , "Ana" , "EV_PlayerPosition" , "(-106.08, 4.00, -80.19)" , ""
[00:00:02] , "Team 2" , "0" , "Zenyatta" , "EV_PlayerPosition" , "(-109.80, 4.00, -78.60)" , ""
[00:00:02] , "Team 1" , "5" , "Bastion" , "EV_PlayerPosition" , "(55.21, 4.08, -66.31)" , ""
[00:00:02] , "Team 1" , "4" , "Roadhog" , "EV_PlayerPosition" , "(54.02, 4.00, -66.50)" , ""
[00:00:02] , "Team 1" , "3" , "Zarya" , "EV_PlayerPosition" , "(54.81, 4.08, -68.05)" , ""
[00:00:02] , "Team 1" , "2" , "Zenyatta" , "EV_PlayerPosition" , "(53.04, 4.00, -67.23)" , ""
[00:00:02] , "Team 1" , "1" , "Lúcio" , "EV_PlayerPosition" , "(52.14, 4.51, -68.22)" , ""
[00:00:04] , "Team 2" , "5" , "Mei" , "EV_PlayerPosition" , "(-108.74, 4.00, -79.66)" , ""
[00:00:04] , "Team 2" , "4" , "Soldier: 76" , "EV_PlayerPosition" , "(-108.21, 4.00, -78.07)" , ""
[00:00:04] , "Team 2" , "3" , "Zarya" , "EV_PlayerPosition" , "(-106.61, 4.00, -81.79)" , ""
[00:00:04] , "Team 2" , "2" , "Roadhog" , "EV_PlayerPosition" , "(-107.67, 4.00, -80.72)" , ""
[00:00:04] , "Team 2" , "1" , "Ana" , "EV_PlayerPosition" , "(-106.08, 4.00, -80.19)" , ""
[00:00:04] , "Team 2" , "0" , "Zenyatta" , "EV_PlayerPosition" , "(-109.80, 4.00, -78.60)" , ""
[00:00:04] , "Team 1" , "5" , "Bastion" , "EV_PlayerPosition" , "(42.64, 6.00, -64.01)" , ""
[00:00:04] , "Team 1" , "4" , "Roadhog" , "EV_PlayerPosition" , "(41.77, 6.00, -63.06)" , ""
[00:00:04] , "Team 1" , "3" , "Zarya" , "EV_PlayerPosition" , "(42.64, 6.00, -63.19)" , ""
[00:00:04] , "Team 1" , "2" , "Zenyatta" , "EV_PlayerPosition" , "(39.81, 6.06, -64.85)" , ""
[00:00:04] , "Team 1" , "1" , "Lúcio" , "EV_PlayerPosition" , "(39.32, 6.00, -63.93)" , ""
[00:00:05] , "Team 2" , "5" , "Mei" , "EV_Charge_Ultimate" , "0" , ""
[00:00:05] , "Team 2" , "4" , "Soldier: 76" , "EV_Charge_Ultimate" , "0" , ""
[00:00:05] , "Team 2" , "3" , "Zarya" , "EV_Charge_Ultimate" , "0" , ""
[00:00:05] , "Team 2" , "2" , "Roadhog" , "EV_Charge_Ultimate" , "0" , ""
[00:00:05] , "Team 2" , "1" , "Ana" , "EV_Charge_Ultimate" , "0" , ""
[00:00:05] , "Team 2" , "0" , "Zenyatta" , "EV_Charge_Ultimate" , "0" , ""
[00:00:05] , "Team 1" , "5" , "Bastion" , "EV_Charge_Ultimate" , "0" , ""
[00:00:05] , "Team 1" , "4" , "Roadhog" , "EV_Charge_Ultimate" , "0" , ""
[00:00:05] , "Team 1" , "3" , "Zarya" , "EV_Charge_Ultimate" , "0" , ""
[00:00:05] , "Team 1" , "2" , "Zenyatta" , "EV_Charge_Ultimate" , "0" , ""
[00:00:05] , "Team 1" , "1" , "Lúcio" , "EV_Charge_Ultimate" , "0" , ""
